year,apply_cnt,issue_amt_100m,accident_cnt,accident_amt_100m,accident_rate_pct,product
2014,2894,3252,0,0,0.0,전세금안심대출보증
2015,1574,1749,12,16,0.762,전세금안심대출보증
2016,21199,29738,33,34,0.156,전세금안심대출보증
2017,38697,58147,60,93,0.155,전세금안심대출보증
2018,76102,115053,457,848,0.601,전세금안심대출보증
2019,118963,168291,1462,2790,1.229,전세금안심대출보증
2020,128385,194463,2380,4302,1.854,전세금안심대출보증
2021,162273,256755,2976,5647,1.834,전세금안심대출보증
2022,154587,246673,5202,10198,3.365,전세금안심대출보증
2023,218100,329386,15665,33039,7.182,전세금안심대출보증
